#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 0.000000 -1.141704 1.082064 -0.210466
 5.000000 -2.546075 -2.871780 -0.177759
 10.000000 -2.247071 3.053603 -0.121628
 15.000001 -1.852109 2.299998 0.002331
 20.000001 -1.525986 1.006632 0.047546
 25.000001 -1.765573 1.959232 0.024120
 30.000001 -1.088241 1.538920 -0.659488
 35.000002 -1.571493 1.162948 -0.011385
 40.000002 -0.429693 -0.489386 0.225650
 45.000002 -1.560697 2.640649 -1.191410
 50.000002 -2.266825 3.076427 -0.243008
 55.000003 -1.627267 2.075802 0.326006
 60.000003 -2.319821 1.088133 0.626688
 65.000003 -1.137383 0.602841 -0.304455
 70.000003 -1.467653 2.752680 -0.424774
 75.000004 -2.285543 2.834915 -0.258823
 80.000004 -1.155437 0.617327 0.114214
 85.000004 -2.290736 2.672098 0.210539
 90.000004 -2.307513 -2.932838 0.202939
 95.000005 -2.206569 2.280330 0.268912
 100.000005 -2.240329 2.563482 0.405995
 105.000005 -1.269310 3.011183 0.002143
 110.000005 -1.389976 2.374053 -0.440750
 115.000005 -2.398920 2.265727 0.298593
 120.000006 -1.284193 0.534498 0.141360
 125.000006 -1.264951 0.563820 0.089986
 130.000006 -1.354468 -0.273810 0.006932
 135.000006 -1.537188 2.332976 0.150139
 140.000007 -1.276768 0.749850 0.182660
 145.000007 -0.927259 1.410891 -0.574832
 150.000007 -3.098329 -3.111872 -0.438458
 155.000007 -1.963854 2.105072 -0.339373
 160.000008 -1.666656 2.259306 0.342308
 165.000008 -2.688227 2.696665 -0.245473
 170.000008 -2.128888 3.083815 -0.300122
 175.000008 -3.002318 0.416210 -0.042999
 180.000009 -2.325175 2.823039 -0.134624
 185.000009 -1.059691 -0.048791 0.076537
 190.000009 -2.133251 1.836226 -0.064382
 195.000009 -2.336329 2.754488 -0.162514
 200.000009 -1.451332 0.636027 -0.221329
 205.000010 -1.855672 1.309946 0.086518
 210.000010 -2.226806 2.686979 -0.643300
 215.000010 -2.840966 2.295123 0.174497
 220.000010 -1.806978 1.649212 -0.144974
 225.000011 -1.974661 0.076705 -0.155745
 230.000011 -1.567367 1.292504 0.218120
 235.000011 -0.997246 0.121208 0.039303
 240.000011 -1.848554 0.925906 -0.240055
 245.000012 -1.381396 2.396910 -0.231946
 250.000012 -0.959813 -0.167083 -0.371591
 255.000012 -1.510601 1.926070 0.342315
 260.000012 -1.615079 0.057376 0.404106
 265.000013 -2.018196 2.005159 -0.264014
 270.000013 -2.748188 2.865123 0.153169
 275.000013 -1.673616 -0.028650 -0.113715
 280.000013 -1.673632 1.042359 0.189805
 285.000014 -1.977128 0.758511 0.373719
 290.000014 -1.051270 0.633536 0.203757
 295.000014 -2.576207 2.496710 0.058955
 300.000014 -1.393817 1.178292 0.035329
 305.000014 -1.445318 0.652322 -0.151342
 310.000015 -2.683967 3.093928 -0.103040
 315.000015 -2.076488 2.934361 -0.264878
 320.000015 -1.954879 2.697237 -0.100212
 325.000015 -2.513699 2.402375 -0.055445
 330.000016 -1.671643 2.620134 -0.189578
 335.000016 -0.962040 2.375383 -0.024897
 340.000016 -2.553799 2.133474 0.313874
 345.000016 -1.149331 1.629255 -0.074025
 350.000017 -1.645174 0.991902 0.516815
 355.000017 -2.025930 0.621513 -0.017472
 360.000017 -1.360539 1.294371 0.436852
 365.000017 -0.457621 -0.232890 -0.011088
 370.000018 -1.786941 1.976758 0.372996
 375.000018 -2.282372 2.593112 -0.048734
 380.000018 -2.952299 2.653927 -0.064605
 385.000018 -1.484559 1.464235 0.192309
 390.000019 -1.087163 1.358332 -0.439416
 395.000019 -2.310480 2.575628 0.198003
 400.000019 -2.074707 2.341972 -0.184702
 405.000019 -1.910410 2.474886 -0.089384
 410.000019 -1.432723 1.122659 -0.006727
 415.000020 -2.023412 2.406865 0.087343
 420.000020 -1.271056 1.102573 -0.144968
 425.000020 -2.532401 2.418121 -0.122701
 430.000020 -2.793369 -3.049680 -0.026865
 435.000021 -2.052140 0.609232 0.520911
 440.000021 -1.833438 0.222920 0.099631
 445.000021 -1.812648 2.659031 -0.171340
 450.000021 -1.888222 0.626708 0.123485
 455.000022 -1.832107 2.601553 0.039769
 460.000022 -2.388993 -1.033555 -0.331824
 465.000022 -2.315064 2.718545 -0.086523
 470.000022 -1.513749 2.836411 -0.198594
 475.000023 -1.536870 -0.123699 0.328814
 480.000023 -0.921829 2.280703 -0.009885
 485.000023 -1.974715 1.685834 -0.025128
 490.000023 -0.844006 -0.076761 -0.082990
 495.000024 -1.836171 1.826873 -0.067189
