#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 0.000000 -1.141704 1.082064 -0.210466
 5.000000 -1.093682 1.075238 -0.001891
 10.000000 -2.660454 2.694891 0.135193
 15.000001 -1.225124 2.087589 0.152920
 20.000001 -1.650727 2.119098 -0.215621
 25.000001 -1.484169 1.208758 0.107248
 30.000001 -2.819156 -3.007537 -0.375297
 35.000002 -0.784840 1.678352 -0.440889
 40.000002 -1.485400 2.017239 0.177360
 45.000002 -2.391863 2.370042 -0.329749
 50.000002 -2.667530 -3.002248 0.051837
 55.000003 -1.057092 0.008515 0.723653
 60.000003 -2.627414 3.086093 -0.078964
 65.000003 -1.958302 1.943245 0.172436
 70.000003 -1.457266 1.388613 -0.065396
 75.000004 -2.299908 -2.941954 -0.173274
 80.000004 -1.663573 0.399684 0.119775
 85.000004 -1.679506 1.359207 -0.081904
 90.000004 -2.018923 3.051367 -0.189422
 95.000005 -1.648895 1.382258 0.532526
 100.000005 -2.926138 -1.022490 -0.222677
 105.000005 -1.453123 0.752506 0.043576
 110.000005 -2.576791 2.845409 0.621893
 115.000005 -1.374260 2.170905 -0.081750
 120.000006 -1.836809 2.267514 -0.273997
 125.000006 -1.741867 0.292827 0.306678
 130.000006 -2.615150 -3.020868 0.187241
 135.000006 -2.707797 2.862287 0.060396
 140.000007 -1.506730 2.486310 0.548755
 145.000007 -1.054663 1.743645 -0.369406
 150.000007 -2.234211 2.804015 -0.097966
 155.000007 -1.707639 2.620541 -0.222560
 160.000008 -1.142487 2.598632 -0.700515
 165.000008 -1.534181 0.295855 0.095284
 170.000008 -1.995284 2.816128 -0.367458
 175.000008 -0.686929 1.242758 0.225750
 180.000009 -1.219773 -0.237169 -0.111928
 185.000009 -2.323563 -3.115558 -0.206290
 190.000009 -1.800731 2.195526 0.217453
 195.000009 -1.362220 0.014577 -0.035066
 200.000009 -2.505677 2.045581 -0.020273
 205.000010 -1.542224 0.980068 0.517953
 210.000010 -1.313329 0.309004 0.146606
 215.000010 -2.361107 2.547442 -0.105061
 220.000010 -1.459522 0.497863 -0.593871
 225.000011 -1.834033 1.896667 0.772978
 230.000011 -2.312369 2.471144 0.380266
 235.000011 -2.197699 2.396183 -0.005102
 240.000011 -1.531071 1.976324 -0.414337
 245.000012 -1.277818 0.463871 0.088746
 250.000012 -1.499376 2.115283 -0.295944
 255.000012 -1.231237 2.399680 -0.890645
 260.000012 -1.152821 -0.224557 0.150065
 265.000013 -0.891950 2.052227 -0.379872
 270.000013 -2.657064 2.482702 0.070457
 275.000013 -1.302596 0.576814 -0.093831
 280.000013 -1.911539 1.540199 -0.289677
 285.000014 -2.274535 0.878864 0.083576
 290.000014 -2.136418 -3.119274 -0.620684
 295.000014 -2.089567 3.104960 -0.537313
 300.000014 -2.370404 2.646977 -0.154349
 305.000014 -2.214414 0.961674 0.244066
 310.000015 -1.962505 2.536552 -0.385112
 315.000015 -2.444968 1.978569 -0.008478
 320.000015 -1.731634 2.705853 -0.424249
 325.000015 -1.808417 2.166067 0.198723
 330.000016 -2.260449 1.347051 0.307531
 335.000016 -1.962105 1.329694 -0.223714
 340.000016 -2.599864 2.444407 0.127107
 345.000016 -1.777289 0.299711 0.428715
 350.000017 -1.845476 1.586732 0.315780
 355.000017 -1.310802 1.806561 0.196763
 360.000017 -1.084322 1.588991 -0.156504
 365.000017 -3.006058 -3.024548 0.500458
 370.000018 -2.385346 0.296786 0.758382
 375.000018 -2.542920 1.523603 0.301988
 380.000018 1.381719 -0.436895 -0.142182
 385.000018 1.288945 -0.414045 -0.211244
 390.000019 0.934130 -0.184095 -0.148188
 395.000019 0.886238 -0.579278 -0.084674
 400.000019 -1.143862 1.383437 -0.221602
 405.000019 -1.529340 1.590368 -0.150592
 410.000019 -1.915645 0.675094 0.005578
 415.000020 -1.349507 -0.396776 -0.311833
 420.000020 -1.202293 0.387128 -0.103431
 425.000020 -1.922410 2.045929 -0.109937
 430.000020 -2.405119 1.617178 -0.047031
 435.000021 -2.322411 2.140375 0.142721
 440.000021 -2.123739 0.723818 0.273266
 445.000021 -1.859943 -3.027682 -0.122989
 450.000021 -1.952142 1.181501 0.364574
 455.000022 -1.580970 1.412189 -0.005133
 460.000022 -2.514129 2.667894 0.183723
 465.000022 -1.097078 0.873865 0.282625
 470.000022 -1.523965 1.489518 -0.513994
 475.000023 -2.833725 2.149261 -0.112239
 480.000023 -1.823162 1.934789 0.429532
 485.000023 -0.967611 0.201133 0.109687
 490.000023 -1.760924 0.755621 0.363492
 495.000024 -1.428219 1.064345 0.410219
 500.000024 -1.200251 0.883975 -0.094201
 505.000024 -2.332559 1.467941 0.997443
 510.000024 -0.912869 -0.351556 0.054313
 515.000024 -2.090893 2.501803 -0.147249
 520.000025 -2.725901 2.146959 0.074892
 525.000025 -1.607389 -0.596127 0.431954
 530.000025 -1.416383 2.427519 -0.547210
 535.000025 -1.489784 0.275924 -0.003937
 540.000026 -1.518087 2.581273 0.149924
 545.000026 -1.300451 2.447989 -0.206866
 550.000026 -2.072505 0.220460 0.153863
 555.000026 -2.329953 2.823559 -0.658528
 560.000027 -1.612750 0.542694 0.422510
 565.000027 3.025015 2.676792 0.471327
 570.000027 -2.636191 2.176315 -0.218664
 575.000027 -2.792595 -3.101257 0.133714
 580.000028 -2.346446 1.535477 0.148136
 585.000028 -2.559343 3.008992 0.142310
 590.000028 -1.771936 1.137307 0.126468
 595.000028 -2.363389 2.328221 -0.075428
 600.000028 -1.579903 2.487097 -0.060905
 605.000029 -1.605198 2.134392 0.011740
 610.000029 -1.584384 1.150048 0.121774
 615.000029 3.046355 2.909620 0.128553
 620.000029 -2.958507 2.693793 0.412106
 625.000030 -2.107551 1.986595 0.182539
 630.000030 -1.788253 1.932851 -0.081051
 635.000030 -1.590345 2.100586 -0.851062
 640.000030 -1.452667 2.398527 0.383587
 645.000031 -2.594099 2.530277 -0.124228
 650.000031 -1.953071 0.028637 0.205502
 655.000031 -2.041497 2.883597 0.294024
 660.000031 -1.005156 1.067594 0.010243
 665.000032 -1.221917 0.928026 -0.017084
 670.000032 -1.070193 2.171650 -0.429851
 675.000032 -1.087781 0.632423 0.241056
 680.000032 -1.254618 1.961718 0.164717
 685.000033 -2.211709 1.780506 0.168640
 690.000033 -1.824857 0.646421 -0.339384
 695.000033 -2.038227 2.019983 -0.251580
 700.000033 -1.081494 -0.291233 -0.161710
 705.000033 -2.054371 2.346603 0.178201
 710.000034 -1.479674 0.967194 0.356530
 715.000034 -2.645668 2.713097 -0.015217
 720.000034 -0.995420 2.563553 -0.545766
 725.000034 -1.340753 2.733755 0.073980
 730.000035 -2.198535 1.045337 0.395947
 735.000035 -1.199334 1.307082 -0.109964
 740.000035 -2.981936 2.028589 0.186269
 745.000035 -2.249295 -2.896088 0.640589
 750.000036 -2.399456 -0.769331 -0.422877
 755.000036 -1.579238 1.667210 0.159981
 760.000036 -1.736020 0.646808 0.654131
 765.000036 1.221589 -0.270653 -0.163403
 770.000037 1.077652 -1.157501 0.242972
 775.000037 -1.721842 2.668163 -0.776579
 780.000037 -2.425517 2.284972 -0.291387
 785.000037 -1.763810 1.276523 0.831807
 790.000038 -1.461683 2.139860 0.350389
 795.000038 -2.163333 3.002050 0.169649
 800.000038 -2.124310 2.438001 0.143468
 805.000038 -2.349656 2.917180 -0.375967
 810.000038 -2.927019 2.115804 0.278635
 815.000039 -1.425610 1.425297 -0.119251
 820.000039 -1.359090 0.192456 -0.064074
 825.000039 -2.537771 -3.090232 -0.542912
 830.000039 -1.311912 1.088773 -0.214681
 835.000040 -1.505829 1.555665 0.124785
 840.000040 -2.193902 1.445355 0.394204
 845.000040 -1.524279 1.435320 -0.107955
 850.000040 -1.611499 1.912203 0.337514
 855.000041 -1.713334 0.114372 0.781766
 860.000041 -2.715844 1.941476 0.271799
 865.000041 -2.520715 2.471192 0.061047
 870.000041 -2.830137 2.397652 0.024918
 875.000042 -1.921610 0.050677 0.110891
 880.000042 -2.849180 2.477773 0.263150
 885.000042 -0.998727 2.412492 -0.060627
 890.000042 -2.624149 2.326218 -0.074434
 895.000043 -1.493753 0.075394 0.258494
 900.000043 -1.357385 1.584574 -0.040700
 905.000043 -1.024870 1.612423 -0.007189
 910.000043 -1.902058 0.953500 0.057314
 915.000043 -0.798936 1.931097 -0.483388
 920.000044 -1.445194 2.232083 -0.561377
 925.000044 -0.987793 1.820831 -0.009288
 930.000044 -1.931682 1.758855 -0.024702
 935.000044 -2.498721 2.645441 0.105119
 940.000045 -2.349442 1.251216 0.387015
 945.000045 -1.166821 1.152343 0.230889
 950.000045 -1.378125 1.299929 0.148563
 955.000045 -0.787507 2.230044 -0.523658
 960.000046 -1.783963 1.251720 0.290582
 965.000046 -1.131252 0.824359 -0.251799
 970.000046 -2.098455 1.234915 -0.284206
 975.000046 -2.384215 2.653340 0.276725
 980.000047 -1.318061 1.025916 0.411578
 985.000047 -2.529074 2.871131 0.184743
 990.000047 -0.717395 -0.622862 0.530049
 995.000047 -2.114536 2.933286 0.136229
 1000.000047 -1.874999 3.074375 0.154144
 1005.000048 -2.233646 -0.047397 0.127496
 1010.000048 -1.842165 2.586460 -0.421927
 1015.000048 -2.741867 2.609660 -0.132798
 1020.000048 -2.342544 -3.019650 0.076163
 1025.000049 -1.933439 1.089570 0.096749
 1030.000049 -1.281527 0.585971 -0.121291
 1035.000049 -1.738488 0.135440 0.448467
 1040.000049 -2.224413 2.560942 -0.336250
 1045.000050 -2.505417 2.649298 -0.441571
 1050.000050 -2.309707 0.941969 0.118081
 1055.000050 -1.496401 1.453783 -0.393237
 1060.000050 -1.104497 1.487058 -0.120354
 1065.000051 -1.168734 0.874706 -0.050392
 1070.000051 -1.530907 1.475186 0.151842
 1075.000051 -1.148011 -0.959618 0.080174
 1080.000051 -0.898316 2.516985 -0.367762
 1085.000052 -1.064979 2.404108 -0.092057
 1090.000052 -1.492408 0.708693 0.491265
 1095.000052 -1.401121 -0.165849 -0.337340
 1100.000052 -2.636252 2.444983 -0.009092
 1105.000052 -1.919560 1.638967 0.022827
 1110.000053 -1.820008 1.151723 0.042186
 1115.000053 -2.534708 3.034898 -0.164473
 1120.000053 -2.681374 3.082802 -0.097015
 1125.000053 -2.150335 -3.110890 0.296708
 1130.000054 -1.379269 0.704119 -0.530183
 1135.000054 -1.583970 0.935640 0.051484
 1140.000054 -2.604009 -3.098786 -0.283310
 1145.000054 -1.962440 2.582887 -0.286184
 1150.000055 -1.135842 2.254185 -0.240169
 1155.000055 -1.539223 1.454174 0.301082
 1160.000055 -0.890373 1.969359 -0.242917
 1165.000055 -2.446701 -3.120723 -0.281679
 1170.000056 -2.845082 2.938657 0.277192
 1175.000056 -1.068127 -1.476019 -0.238522
 1180.000056 -2.148120 1.806974 0.105104
 1185.000056 -2.342066 0.514077 0.317045
 1190.000057 -1.353309 2.129354 0.025396
 1195.000057 -1.585543 2.128021 0.311663
 1200.000057 -1.190214 1.772226 -0.083006
 1205.000057 -1.397780 2.924270 -0.591294
 1210.000057 -2.016096 1.475658 -0.701567
 1215.000058 -0.199007 1.526637 0.078184
 1220.000058 -2.182658 2.131596 -0.233976
 1225.000058 -2.659400 3.025702 -0.289847
 1230.000058 -1.172856 2.108074 -0.513514
 1235.000059 -2.596682 2.600252 0.200322
 1240.000059 -1.531370 1.095916 0.402967
 1245.000059 -1.889262 2.964104 -0.378279
 1250.000059 -1.380895 1.179821 -0.177735
 1255.000060 -1.439601 -0.127501 0.518981
 1260.000060 -2.427058 2.644653 0.186992
 1265.000060 -2.278787 2.313506 0.151830
 1270.000060 -2.598003 2.315042 -0.147894
 1275.000061 -2.695744 -3.045634 0.034577
 1280.000061 -2.188359 2.876707 -0.636414
 1285.000061 -0.880010 2.470387 -0.575057
 1290.000061 -1.673000 0.898236 -0.122030
 1295.000062 -1.370066 1.789624 0.072759
 1300.000062 -1.405484 2.733343 -0.035910
 1305.000062 -1.978436 2.527308 0.141517
 1310.000062 -2.070926 2.893125 -0.201135
 1315.000062 -1.937966 2.458383 -0.233883
 1320.000063 -1.079758 0.318076 0.322086
 1325.000063 -1.505436 1.164990 0.093389
 1330.000063 -2.720861 -3.058097 -0.281651
 1335.000063 -1.608117 2.317415 -0.134449
 1340.000064 -2.421546 2.827094 0.121176
 1345.000064 -1.492489 2.968483 -0.170540
 1350.000064 -2.266042 2.936795 0.036035
 1355.000064 -1.561704 2.956504 -0.374065
 1360.000065 -2.440368 2.803055 -0.214986
 1365.000065 -2.349109 2.088909 -0.030959
 1370.000065 -0.697925 -0.267601 0.300240
 1375.000065 -2.853807 2.290861 -0.029479
 1380.000066 -3.051439 -3.040267 -0.547807
 1385.000066 -1.024441 2.456756 -0.607180
 1390.000066 -0.954987 2.239241 0.012279
 1395.000066 -2.839699 2.416753 0.576723
 1400.000066 -1.978152 1.924457 0.769315
 1405.000067 -2.378573 2.921124 -0.239680
 1410.000067 -1.732363 0.113782 -0.175997
 1415.000067 -1.216235 0.295147 0.242199
 1420.000067 -1.367957 2.042218 -0.111953
 1425.000068 -1.260924 2.620760 -0.232464
 1430.000068 -2.151544 2.425505 -0.140193
 1435.000068 -0.694307 -0.622710 -0.045763
 1440.000068 -1.189180 2.446629 -0.387146
 1445.000069 -2.073825 -3.033442 0.511890
 1450.000069 -1.602817 2.679991 -0.465037
 1455.000069 -1.074541 0.940915 0.156214
