#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 690.000033 -1.924029 2.609797 -0.088161
 695.000033 -1.329931 0.544845 0.224080
 700.000033 -1.063342 0.398060 -0.089893
 705.000033 -1.189077 1.187970 -0.067113
 710.000034 -1.420853 0.908114 0.072191
 715.000034 -1.520185 0.988346 -0.045614
 720.000034 -1.477822 1.151722 -0.059605
 725.000034 -1.474270 1.348123 -0.137813
 730.000035 -1.886012 1.682650 0.059779
 735.000035 -2.350713 2.779367 -0.005137
 740.000035 -1.107550 -0.136825 0.215885
 745.000035 -1.971084 2.773067 0.044707
 750.000036 -2.423736 3.017457 0.260648
 755.000036 -2.234783 2.858895 -0.142052
 760.000036 -1.231322 1.336739 0.034457
 765.000036 -2.891274 3.039427 0.159947
 770.000037 -1.233916 0.188351 0.237494
 775.000037 -2.901436 -3.096161 0.132704
 780.000037 -2.372868 2.779589 0.110987
 785.000037 -2.693830 2.775146 -0.060446
 790.000038 -2.419921 2.763988 -0.325854
 795.000038 -2.403924 1.951447 -0.036038
 800.000038 -1.216530 0.814307 -0.042652
 805.000038 -1.293043 0.604808 0.037882
 810.000038 -1.427296 0.745294 0.245907
 815.000039 -1.241324 1.340490 -0.090976
 820.000039 -1.787695 2.522109 -0.190391
 825.000039 -1.529958 1.483935 -0.046678
 830.000039 -2.713754 2.820763 -0.221445
 835.000040 -1.632618 1.283831 0.244159
 840.000040 -1.451027 1.163423 0.116161
 845.000040 -2.015711 2.059022 0.162231
 850.000040 -1.681675 2.025226 0.262824
 855.000041 -2.473434 3.122259 -0.455712
 860.000041 -2.405468 2.808833 0.079126
 865.000041 -2.402306 2.445623 0.080974
 870.000041 -1.492130 0.740694 0.052659
 875.000042 -1.405287 0.867516 0.155313
 880.000042 -1.581130 1.099932 0.451957
 885.000042 -1.277636 1.420381 -0.132076
 890.000042 -1.635135 1.332013 -0.348276
 895.000043 -2.544899 2.793154 -0.097573
