#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 1360.000065 -1.569109 2.314655 -0.188328
 1370.000065 -1.578701 1.174759 -0.047789
 1380.000066 -1.557757 1.830935 -0.178022
 1390.000066 -1.966442 2.702601 -0.465346
 1400.000066 -2.730160 2.446168 0.275934
 1410.000067 -2.166359 2.939161 -0.266720
 1420.000067 -2.650334 2.923932 -0.077953
 1430.000068 -1.342687 0.201948 0.204838
 1440.000068 -1.694500 0.748363 0.200961
 1450.000069 -2.851397 -2.426790 0.115708
 1460.000069 -2.207214 1.865228 -0.074217
 1470.000070 1.022769 -0.739127 0.517834
 1480.000070 1.169172 -0.605498 -0.133287
 1490.000071 0.751221 0.484643 -0.528998
 1500.000071 -0.983364 1.894064 -0.346706
 1510.000072 -2.500195 2.969391 -0.146329
 1520.000072 -2.240270 2.651544 0.077692
 1530.000073 -1.950199 0.813834 -0.018066
 1540.000073 -2.127445 2.682600 -0.481667
 1550.000074 -1.239576 2.303723 0.234946
 1560.000074 -2.256134 2.676682 -0.149638
 1570.000075 -1.218895 2.405179 -0.312931
 1580.000075 -2.836081 2.544487 -0.019327
 1590.000076 -2.417640 3.031514 0.090864
 1600.000076 -1.325390 1.215275 0.163174
 1610.000076 -2.659745 2.922600 0.244557
 1620.000077 -0.962054 1.876386 -0.258074
 1630.000077 -2.020335 2.666339 -0.214985
 1640.000078 -2.745618 2.803080 -0.292678
 1650.000078 -2.678881 2.459480 0.068720
 1660.000079 -1.899675 2.353627 -0.281190
 1670.000079 -1.384716 0.987888 0.397311
 1680.000080 -2.493895 2.120026 0.194578
 1690.000080 -2.061383 2.821512 0.081972
 1700.000081 -1.351787 -0.513776 0.003234
 1710.000081 -2.295175 -2.865773 0.028828
 1720.000082 -1.342247 0.863765 0.056123
 1730.000082 -2.169765 2.207078 -0.154980
 1740.000083 -1.346124 0.935924 0.126007
 1750.000083 -2.460981 2.461839 0.596629
 1760.000084 -2.874545 2.920751 0.377510
 1770.000084 -1.379327 1.326414 -0.385857
 1780.000085 -1.409010 2.900370 -0.337975
 1790.000085 -2.660514 2.307943 0.190518
 1800.000085 -1.434533 1.797029 -0.224972
 1810.000086 -1.645238 1.649977 0.457953
 1820.000086 -1.578172 1.401417 0.149303
 1830.000087 -2.697675 2.855835 -0.037603
 1840.000087 -2.530480 2.441086 -0.059058
 1850.000088 -1.226746 2.150240 -0.025409
 1860.000088 -2.780837 2.316531 -0.591473
 1870.000089 -2.300101 -0.749475 0.156173
 1880.000089 -0.871239 0.984750 -0.372677
 1890.000090 -0.896007 0.258870 0.077144
 1900.000090 -2.332977 2.033216 0.064196
 1910.000091 -2.444080 -2.881430 0.109972
 1920.000091 -1.967972 2.769528 0.148888
 1930.000092 -2.225842 2.762564 -0.023956
 1940.000092 -3.078094 2.652799 0.249247
 1950.000093 -1.544217 0.692540 0.615077
 1960.000093 -1.279620 1.803486 -0.094205
 1970.000094 -2.404661 2.245443 0.206566
 1980.000094 -2.105489 2.513576 0.305034
 1990.000095 -1.558223 1.033652 0.334161
 2000.000095 -2.443691 -3.005867 0.139619
 2010.000095 -1.301195 2.608509 -0.158437
 2020.000096 -1.133686 0.836286 -0.008091
 2030.000096 -1.097339 -0.392046 0.129403
 2040.000097 -2.539321 2.364615 -0.156776
 2050.000097 0.891023 -0.309298 0.115256
 2060.000098 -1.522559 -0.039369 0.223234
 2070.000098 -2.095913 1.249921 0.371212
 2080.000099 -1.489415 0.652854 -0.059718
 2090.000099 -1.319884 0.898902 0.184918
 2100.000100 -2.688689 2.619184 -0.038355
 2110.000100 -2.455450 2.756265 -0.058648
 2120.000101 -0.921234 2.357316 -0.125692
 2130.000101 -1.881930 2.820609 -0.202792
 2140.000102 -2.562632 2.307690 0.305539
 2150.000102 -2.076688 2.684227 -0.363510
 2160.000103 -1.992625 1.549675 -0.030021
 2170.000103 -1.727661 2.533096 -0.041348
 2180.000104 -1.686954 1.872031 0.051016
 2190.000104 -2.208688 1.063949 0.241396
 2200.000104 -1.504825 0.560700 0.318220
 2210.000105 -2.002083 2.616759 -0.200214
 2220.000105 -1.407007 0.265997 -0.008113
 2230.000106 -2.409298 2.919900 -0.215919
 2240.000106 -1.616261 1.994077 0.153923
 2250.000107 -1.279958 0.993840 -0.098476
 2260.000107 -2.487742 2.077848 0.272668
 2270.000108 -1.994514 1.517862 0.063765
 2280.000108 -1.721315 1.216588 0.263113
 2290.000109 -1.765448 2.325618 -0.183809
 2300.000109 -1.171753 2.352694 0.236599
 2310.000110 -2.519927 2.509139 -0.116068
 2320.000110 -1.732864 1.395210 0.009376
 2330.000111 -1.605246 0.414555 0.004894
