#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 0.000000 -1.141704 1.082064 -0.210466
 5.000000 -1.177428 0.310462 0.141174
 10.000000 -1.315627 1.084134 -0.018035
 15.000001 -1.466444 2.624620 -0.133853
 20.000001 -1.356790 0.910289 0.220323
 25.000001 -2.007951 1.918831 0.109710
 30.000001 -1.087101 0.653651 0.054183
 35.000002 -2.429040 2.945515 -0.022753
 40.000002 -1.300835 0.692859 0.223856
 45.000002 -1.109753 -0.467436 0.148828
 50.000002 -2.375732 2.473699 -0.418476
 55.000003 -1.123677 0.705141 -0.074448
 60.000003 -2.723480 2.610172 -0.178918
 65.000003 -2.739062 2.691259 0.014536
 70.000003 -1.184864 2.549034 -0.294930
 75.000004 -2.430837 2.920810 -0.253962
 80.000004 -1.514969 0.848021 -0.046785
 85.000004 -1.548321 0.804823 0.316842
 90.000004 -1.326081 0.473281 0.046458
 95.000005 -2.585894 0.875316 0.322009
 100.000005 -2.343463 2.241572 0.097478
 105.000005 -1.333362 0.723547 0.053855
 110.000005 -2.191098 3.124447 -0.397853
 115.000005 -1.392840 2.140758 -0.119165
 120.000006 -1.380409 1.577279 0.093169
 125.000006 -2.139955 2.740373 -0.296605
 130.000006 -2.337454 2.801137 0.093989
 135.000006 -1.144809 1.082418 -0.098920
 140.000007 -2.344016 2.566930 -0.208130
 145.000007 -2.840296 -3.013055 -0.165810
 150.000007 -2.311400 2.407007 -0.415848
 155.000007 -2.733859 2.804410 -0.319622
 160.000008 -1.336402 1.204154 -0.178773
 165.000008 -2.020107 1.924185 0.090990
 170.000008 -2.804950 2.729230 0.282036
 175.000008 -2.321982 2.989496 0.238381
 180.000009 -1.356546 0.465420 0.043515
 185.000009 -2.148506 2.558469 -0.160385
 190.000009 -1.262585 0.171605 -0.020679
 195.000009 -1.573823 0.852397 0.711004
 200.000009 -1.438139 1.734695 -0.032704
 205.000010 -1.316214 0.874858 0.202608
 210.000010 -2.721325 2.749882 0.098117
 215.000010 -1.299079 0.360814 0.288579
 220.000010 -1.169636 0.611589 -0.082682
 225.000011 -1.864029 2.487737 0.134606
 230.000011 -2.529018 2.839197 -0.169277
 235.000011 -2.635854 2.753163 0.032995
 240.000011 -1.476612 2.193892 -0.173392
 245.000012 -1.625669 1.991882 -0.088803
 250.000012 -1.413247 1.273923 0.091080
 255.000012 -1.264874 0.669517 -0.044356
 260.000012 -1.238757 0.321385 0.096141
 265.000013 -2.991434 2.735682 0.243260
 270.000013 -1.988483 2.852361 -0.082184
 275.000013 -2.613231 -2.677860 -0.376257
 280.000013 -2.407927 2.359266 -0.023807
 285.000014 -1.241709 0.962050 0.139398
 290.000014 -2.085030 2.877159 -0.251460
 295.000014 -2.444621 2.326662 0.191255
 300.000014 -1.529533 1.865572 -0.001683
 305.000014 -1.341721 1.486079 -0.320745
 310.000015 -2.685036 2.503486 -0.017366
 315.000015 -2.302294 2.743205 -0.102048
 320.000015 -1.501412 1.987440 -0.122982
 325.000015 -1.614859 1.638359 0.024102
 330.000016 -1.676699 2.745617 0.146248
 335.000016 -2.836274 2.650281 -0.185611
 340.000016 -2.075810 2.691562 -0.191469
 345.000016 -2.511794 3.013046 0.325361
 350.000017 -1.329754 0.521655 -0.151168
 355.000017 -2.677658 3.055159 -0.069606
 360.000017 -2.155745 2.578086 -0.200199
 365.000017 -1.121795 1.617275 -0.285728
 370.000018 -1.483020 0.955642 -0.127148
 375.000018 -1.383820 1.044032 0.337660
 380.000018 -1.106277 2.419965 -0.104123
 385.000018 -1.697560 2.454539 -0.052748
 390.000019 -2.151853 2.531389 0.085719
 395.000019 -2.484767 2.830919 0.104587
 400.000019 -2.363364 2.329571 0.286816
 405.000019 -2.622821 -2.850131 -0.327881
 410.000019 -1.146847 1.361799 -0.077139
 415.000020 -1.557041 0.743335 0.107417
 420.000020 -1.437407 1.424171 0.275570
 425.000020 -1.368510 0.425230 0.066724
 430.000020 -0.684269 2.524846 -0.558497
 435.000021 -2.672750 2.653161 0.139394
 440.000021 -1.326060 1.889669 -0.207675
 445.000021 -1.151248 0.958383 -0.200834
 450.000021 -1.452615 0.356584 0.389986
 455.000022 -1.404734 0.515860 0.133468
