#! FIELDS time d_ace-1-ch3_ace-1-c d_ace-1-ch3_ace-1-o d_ace-1-ch3_ala-2-n d_ace-1-ch3_ala-2-ca d_ace-1-ch3_ala-2-cb d_ace-1-ch3_ala-2-c d_ace-1-ch3_ala-2-o d_ace-1-ch3_nme-3-n d_ace-1-ch3_nme-3-ch3 d_ace-1-c_ace-1-o d_ace-1-c_ala-2-n d_ace-1-c_ala-2-ca d_ace-1-c_ala-2-cb d_ace-1-c_ala-2-c d_ace-1-c_ala-2-o d_ace-1-c_nme-3-n d_ace-1-c_nme-3-ch3 d_ace-1-o_ala-2-n d_ace-1-o_ala-2-ca d_ace-1-o_ala-2-cb d_ace-1-o_ala-2-c d_ace-1-o_ala-2-o d_ace-1-o_nme-3-n d_ace-1-o_nme-3-ch3 d_ala-2-n_ala-2-ca d_ala-2-n_ala-2-cb d_ala-2-n_ala-2-c d_ala-2-n_ala-2-o d_ala-2-n_nme-3-n d_ala-2-n_nme-3-ch3 d_ala-2-ca_ala-2-cb d_ala-2-ca_ala-2-c d_ala-2-ca_ala-2-o d_ala-2-ca_nme-3-n d_ala-2-ca_nme-3-ch3 d_ala-2-cb_ala-2-c d_ala-2-cb_ala-2-o d_ala-2-cb_nme-3-n d_ala-2-cb_nme-3-ch3 d_ala-2-c_ala-2-o d_ala-2-c_nme-3-n d_ala-2-c_nme-3-ch3 d_ala-2-o_nme-3-n d_ala-2-o_nme-3-ch3 d_nme-3-n_nme-3-ch3
 0.000000 0.149772 0.233943 0.245166 0.385790 0.482077 0.461674 0.566019 0.449139 0.557654 0.125140 0.132596 0.249862 0.369124 0.327637 0.439033 0.318007 0.440234 0.226596 0.288873 0.430513 0.338110 0.456493 0.285372 0.391311 0.147875 0.241091 0.260415 0.357115 0.306157 0.443043 0.153539 0.156221 0.242867 0.241765 0.379513 0.257763 0.284359 0.376121 0.503435 0.118609 0.134117 0.247647 0.222203 0.286280 0.141161
 10.000000 0.153835 0.232319 0.241641 0.383202 0.475698 0.445103 0.477852 0.510828 0.617223 0.124606 0.132062 0.245587 0.362125 0.307184 0.364292 0.365368 0.481167 0.234570 0.295839 0.432834 0.329068 0.403151 0.339227 0.441147 0.149428 0.239866 0.238440 0.288409 0.336291 0.462590 0.146498 0.147369 0.236504 0.242957 0.377592 0.245605 0.297174 0.352510 0.475927 0.119921 0.133645 0.248378 0.215225 0.279407 0.138275
 20.000001 0.159518 0.249184 0.235657 0.372773 0.471439 0.478255 0.560256 0.502644 0.621515 0.124344 0.130428 0.236094 0.364024 0.331755 0.427524 0.348918 0.474950 0.228551 0.275002 0.417791 0.343593 0.455842 0.315479 0.429863 0.145708 0.248789 0.265447 0.342365 0.333519 0.470157 0.154994 0.162330 0.248852 0.253707 0.395950 0.256261 0.287657 0.376496 0.508094 0.119839 0.138225 0.257959 0.225673 0.297537 0.144596
 30.000001 0.149455 0.230970 0.240519 0.378883 0.490441 0.443072 0.447179 0.546271 0.665039 0.117485 0.131430 0.242812 0.372481 0.312254 0.344923 0.404680 0.529238 0.218705 0.272391 0.417967 0.317817 0.366213 0.374798 0.491200 0.149068 0.251129 0.253773 0.299181 0.361487 0.492963 0.155420 0.150384 0.245586 0.234145 0.368881 0.254557 0.338796 0.315526 0.433161 0.123670 0.135742 0.248113 0.228262 0.293531 0.138108
 40.000002 0.148193 0.239673 0.246759 0.381949 0.451514 0.482482 0.482121 0.599637 0.708228 0.123101 0.137108 0.250464 0.345699 0.352088 0.369852 0.462306 0.570967 0.221293 0.278980 0.391503 0.365452 0.391688 0.457215 0.549765 0.144391 0.235945 0.248576 0.280294 0.362572 0.485145 0.147960 0.157962 0.249163 0.240433 0.377594 0.263792 0.363825 0.305738 0.454682 0.122981 0.127809 0.240579 0.218566 0.271966 0.148956
 50.000002 0.158176 0.230904 0.244115 0.384311 0.464017 0.467113 0.498573 0.545803 0.630177 0.117427 0.130520 0.246120 0.339394 0.353384 0.415450 0.422955 0.528831 0.225655 0.296846 0.379534 0.421875 0.504052 0.468750 0.582911 0.144121 0.243556 0.238053 0.290395 0.333337 0.443606 0.158264 0.151479 0.243716 0.237079 0.371934 0.254732 0.305484 0.353139 0.488215 0.123573 0.135836 0.244625 0.229536 0.283677 0.145641
 60.000003 0.143213 0.226032 0.225302 0.377738 0.461116 0.465272 0.571457 0.448533 0.552364 0.120179 0.125179 0.253941 0.364921 0.342200 0.456972 0.330367 0.450501 0.220580 0.298081 0.430007 0.366670 0.491575 0.328126 0.446505 0.156617 0.250674 0.260830 0.358809 0.293205 0.417141 0.154045 0.161220 0.244731 0.250412 0.379891 0.265510 0.282280 0.384245 0.498205 0.127022 0.134172 0.236477 0.235046 0.283252 0.138860
 70.000003 0.149633 0.235000 0.251120 0.389662 0.436986 0.508636 0.528498 0.627233 0.766410 0.122705 0.133831 0.255321 0.325732 0.382447 0.427065 0.490575 0.636043 0.217523 0.283942 0.349200 0.419744 0.492112 0.502094 0.655263 0.148249 0.243182 0.258195 0.296276 0.377701 0.515846 0.152540 0.154103 0.245548 0.247586 0.394678 0.255399 0.335077 0.316734 0.448628 0.127032 0.135844 0.258161 0.228149 0.288923 0.155795
 80.000004 0.151016 0.231319 0.248519 0.382525 0.478453 0.471247 0.559477 0.484075 0.586495 0.120408 0.133027 0.245406 0.362046 0.341685 0.443937 0.357453 0.478050 0.219244 0.279359 0.419110 0.347278 0.466488 0.322039 0.438161 0.140305 0.239195 0.256494 0.340394 0.318985 0.446669 0.158293 0.158681 0.247486 0.248645 0.385476 0.264938 0.290996 0.383400 0.508517 0.127004 0.132468 0.243870 0.228180 0.281742 0.144841
 90.000004 0.154637 0.243378 0.250990 0.397116 0.455537 0.497446 0.489042 0.616121 0.739655 0.121314 0.135180 0.259425 0.329317 0.380272 0.403361 0.488178 0.622644 0.218261 0.287100 0.344988 0.425843 0.476923 0.510956 0.655515 0.150441 0.238466 0.256367 0.276845 0.375558 0.502203 0.152275 0.160190 0.240246 0.254034 0.389600 0.267430 0.337924 0.343209 0.459511 0.119674 0.133730 0.245971 0.222877 0.281792 0.148360
