#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 1360.000065 1.051034 -0.630819 0.068654
 1370.000065 1.105799 -1.632437 0.312603
 1380.000066 1.068287 -1.119556 0.386772
 1390.000066 0.734448 -0.703853 0.418029
 1400.000066 1.169563 -1.026482 0.241575
 1410.000067 0.691782 -0.783760 0.021024
 1420.000067 0.726644 -1.424022 0.492167
 1430.000068 0.784224 -0.498325 0.122078
 1440.000068 1.090164 -0.742826 0.072568
 1450.000069 0.754412 -0.860313 -0.105874
 1460.000069 0.812736 -0.221137 -0.103868
 1470.000070 -1.158812 -0.404524 0.308684
 1480.000070 -2.452732 2.677862 0.047731
 1490.000071 -2.226897 2.473241 -0.045753
 1500.000071 -1.400369 2.003536 -0.234359
 1510.000072 -1.532962 0.923520 0.162199
 1520.000072 -1.320242 1.720326 0.027160
 1530.000073 -1.664888 2.620591 -0.006660
 1540.000073 -2.493415 2.889802 -0.109288
 1550.000074 -1.862235 0.714627 0.026937
 1560.000074 -1.015051 0.398616 -0.144419
 1570.000075 -1.218715 0.879222 -0.058806
 1580.000075 -2.801744 2.790639 0.225323
 1590.000076 -1.331711 1.667146 -0.067113
 1600.000076 -1.454137 0.715578 0.213799
 1610.000076 -2.584967 -2.981872 0.128710
 1620.000077 -1.825146 1.549205 -0.132488
 1630.000077 -1.187660 0.118403 0.086224
 1640.000078 -1.286270 0.642611 0.287910
 1650.000078 -1.463704 0.845937 0.012759
 1660.000079 -2.468677 2.894038 -0.285261
 1670.000079 -1.308511 0.826340 -0.019529
 1680.000080 -1.547708 0.550631 0.150476
 1690.000080 -1.327129 1.073116 -0.031892
 1700.000081 -2.162901 2.242209 -0.241295
 1710.000081 -1.208903 0.636152 -0.106714
 1720.000082 -2.310210 2.491399 -0.118537
 1730.000082 -1.251441 1.278393 -0.222177
 1740.000083 -1.591909 1.564692 0.285469
 1750.000083 -1.290167 0.890376 -0.062632
 1760.000084 -1.367491 1.990883 0.201730
 1770.000084 -1.344759 1.422877 0.166431
 1780.000085 -2.712370 3.050999 0.282392
 1790.000085 -2.031423 1.800259 0.020654
 1800.000085 -1.152625 0.877857 -0.017426
 1810.000086 -1.380630 1.188662 0.063276
 1820.000086 -1.589522 0.615241 0.456316
 1830.000087 -1.827852 2.386394 -0.230089
 1840.000087 -2.864213 2.840109 -0.066479
 1850.000088 -2.442988 2.734652 -0.226369
 1860.000088 -1.154560 0.556988 0.074953
 1870.000089 -1.847444 2.341650 -0.104026
 1880.000089 -1.361510 2.262302 -0.106542
 1890.000090 -2.279441 2.756509 -0.237626
 1900.000090 -2.257625 2.885005 -0.025605
 1910.000091 -1.116429 0.440960 0.177650
 1920.000091 -2.465171 2.806298 0.076032
 1930.000092 -2.364486 3.106213 0.119157
 1940.000092 -2.496504 2.311688 0.076584
 1950.000093 -2.560298 2.662172 -0.222680
 1960.000093 -1.669785 1.710480 -0.005436
 1970.000094 -1.946643 2.649051 0.291735
 1980.000094 -1.578696 0.685534 0.347132
 1990.000095 -1.711454 2.276113 -0.031463
 2000.000095 -1.464335 -0.017365 -0.004155
 2010.000095 -2.248909 2.618141 -0.136591
 2020.000096 -1.053771 1.339348 -0.083447
 2030.000096 -1.492970 0.344226 0.031303
 2040.000097 -1.329941 1.110452 -0.000854
 2050.000097 -1.628440 2.738252 0.204650
 2060.000098 -1.101620 0.989009 -0.306327
 2070.000098 -1.484243 2.512397 0.006528
 2080.000099 -1.431635 2.227067 -0.116289
 2090.000099 -1.745200 2.437765 0.026130
 2100.000100 -1.499181 0.097502 0.281363
 2110.000100 -2.700112 2.505397 -0.106340
 2120.000101 -1.690316 0.528033 0.392358
 2130.000101 -1.745541 1.583806 0.071044
 2140.000102 -1.354500 1.442872 0.130178
 2150.000102 -1.485202 2.017577 -0.203356
 2160.000103 -1.604386 1.961692 -0.226958
 2170.000103 -2.647298 -2.811602 0.111051
 2180.000104 -2.632352 2.440064 -0.135279
 2190.000104 -2.305710 2.761053 -0.606141
 2200.000104 -2.473356 2.863482 -0.167886
 2210.000105 -1.706660 1.375043 0.286101
 2220.000105 -2.604714 2.319144 -0.015542
 2230.000106 -2.730971 2.365530 -0.188021
 2240.000106 -1.494607 1.014083 -0.000227
 2250.000107 -2.602482 3.084036 0.159392
 2260.000107 -1.175989 0.441811 -0.093970
 2270.000108 -1.857602 -3.089209 0.006656
 2280.000108 -2.909331 2.631401 0.270452
 2290.000109 -2.256460 2.995282 -0.248127
 2300.000109 -2.585196 2.327399 0.006691
 2310.000110 -1.403292 1.039379 0.040139
 2320.000110 -1.192465 1.669904 -0.078518
 2330.000111 -3.088326 -3.100491 -0.079468
 2340.000111 -1.189239 2.471770 -0.188351
 2350.000112 -2.607526 2.408714 -0.102876
 2360.000112 -1.245487 1.489854 -0.122229
 2370.000113 -1.583726 1.041268 0.269107
 2380.000113 -1.444125 0.732009 0.477805
 2390.000114 -2.168204 2.668513 0.143862
 2400.000114 -1.386872 1.160414 0.152858
 2410.000114 -2.842250 -3.062409 0.190121
 2420.000115 -1.667870 1.946355 -0.040083
 2430.000115 -2.721100 2.766358 0.193985
 2440.000116 -1.348288 0.922026 0.105286
 2450.000116 -2.210671 1.842164 -0.128093
 2460.000117 -2.820297 2.701801 0.410243
 2470.000117 -1.637646 1.715532 0.009937
 2480.000118 -1.427051 1.914065 -0.153625
 2490.000118 -2.269524 2.831544 -0.055434
 2500.000119 -1.399148 2.566828 -0.252512
 2510.000119 -2.510977 2.955993 0.007419
 2520.000120 -1.352608 1.174505 -0.144366
 2530.000120 -1.224463 1.318484 -0.168831
 2540.000121 -1.517583 1.635952 -0.087782
 2550.000121 -1.408780 1.445710 -0.206109
 2560.000122 -2.511897 2.761932 -0.155689
 2570.000122 -1.082427 1.345847 -0.443885
 2580.000123 -2.658031 2.605470 -0.478627
 2590.000123 -2.538281 2.868732 0.039848
 2600.000123 -1.031266 1.438601 -0.228095
 2610.000124 -2.305414 2.844875 -0.287413
 2620.000124 -2.600157 2.751531 0.352246
 2630.000125 -1.223236 0.920910 -0.018225
 2640.000125 -2.811613 2.634454 -0.216443
 2650.000126 -1.317069 1.137345 -0.081750
 2660.000126 -2.485615 1.906148 -0.076989
 2670.000127 -1.141567 0.201486 -0.020955
 2680.000127 -2.431482 -2.890728 0.116641
 2690.000128 -2.164824 2.706373 -0.526975
 2700.000128 -1.475859 0.549989 0.140762
 2710.000129 -2.632639 -3.068792 -0.108049
 2720.000129 -2.343950 2.613911 -0.167702
 2730.000130 -1.396605 0.749007 0.090795
 2740.000130 -1.959103 2.012309 0.203193
 2750.000131 -2.486000 -2.955426 -0.071775
 2760.000131 -2.033280 2.936748 -0.288245
 2770.000132 -2.662860 2.595444 0.438941
 2780.000132 -2.389615 2.559901 0.207721
