#! FIELDS time p.x p.y
 0.000000 0.000000 0.000000
 1.000000 0.600880 0.118820
 2.000000 0.134201 0.320971
 3.000000 -0.666989 0.484262
 4.000000 0.617750 0.163177
 5.000000 0.512036 -0.017452
 6.000000 -0.286137 0.558666
 7.000000 0.172651 0.613351
 8.000000 0.663802 -0.064068
 9.000000 -0.108853 0.652981
 10.000000 0.757645 0.029568
 11.000000 0.719417 -0.317489
 12.000000 -0.240882 0.735142
 13.000000 -0.041290 0.473598
 14.000000 0.721961 0.144803
 15.000000 0.523706 -0.016664
 16.000000 0.823727 0.069293
 17.000000 0.446611 0.249763
 18.000000 -0.287859 0.568673
 19.000000 0.472766 0.041987
 20.000000 0.149276 -0.078850
 21.000000 0.311402 0.148488
 22.000000 0.601860 0.022842
 23.000000 0.632826 -0.023646
 24.000000 0.355020 0.177611
 25.000000 0.653721 0.016552
 26.000000 0.759329 -0.050091
 27.000000 0.801914 0.005599
 28.000000 0.421113 -0.052731
 29.000000 0.031785 0.513244
 30.000000 0.287030 0.023910
 31.000000 0.568903 -0.000718
 32.000000 0.568547 0.048443
 33.000000 0.261062 0.138177
 34.000000 0.407862 -0.059040
 35.000000 0.277329 0.010087
 36.000000 0.511806 -0.059814
 37.000000 0.367352 0.048810
 38.000000 0.551163 0.068966
 39.000000 0.047730 -0.082728
 40.000000 0.386220 0.079639
 41.000000 -0.283270 -0.082986
 42.000000 0.376234 0.007337
 43.000000 0.548431 0.077903
 44.000000 0.583154 0.213377
 45.000000 -0.219337 0.708238
 46.000000 -0.111681 0.643351
 47.000000 -0.421164 0.460207
 48.000000 0.131666 -0.145334
 49.000000 0.024801 0.343430
 50.000000 -0.237376 0.362540
 51.000000 -0.148873 0.560756
 52.000000 -0.006133 0.481781
 53.000000 -0.265176 0.287559
 54.000000 0.101607 0.133187
 55.000000 -0.164051 0.282159
 56.000000 0.366715 0.458176
 57.000000 0.318436 -0.051051
 58.000000 0.007913 0.636447
 59.000000 0.310722 0.161129
 60.000000 0.065143 0.058230
 61.000000 -0.042171 0.380642
 62.000000 0.169353 0.446452
 63.000000 0.227109 -0.070721
 64.000000 0.190247 0.249780
 65.000000 -0.330623 0.385840
 66.000000 -1.012581 1.057568
 67.000000 -0.491287 1.477578
 68.000000 -0.615404 1.241965
 69.000000 -0.634589 1.354688
 70.000000 -0.527533 1.638364
 71.000000 -0.622110 1.353551
 72.000000 -0.379779 1.653274
 73.000000 -0.636069 1.411754
 74.000000 -0.431196 1.680028
 75.000000 -0.405241 1.575956
 76.000000 -0.494872 1.400173
 77.000000 -0.512708 1.375344
 78.000000 -0.733856 0.540938
 79.000000 -0.289206 1.541061
 80.000000 -0.328843 1.627449
 81.000000 -0.642107 1.339115
 82.000000 -0.618223 0.383638
 83.000000 -0.325926 0.645947
 84.000000 0.140188 0.220698
 85.000000 0.520755 0.013014
 86.000000 0.518455 0.150774
 87.000000 0.719642 0.144882
 88.000000 0.207421 0.104855
 89.000000 0.740040 -0.049036
 90.000000 0.560047 0.053463
 91.000000 0.481840 0.094046
